fecha	archivo	algoritmo	cp	minsplit	minbucket	maxdepth	ganancia_promedio	tiempo_promedio	ganancias			
20160919 020309	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	200	5	5	0	5.392359	0			
20160919 020315	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	200	5	10	0	5.420315	0			
20160919 020321	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	200	5	20	0	5.472365	0			
20160919 020327	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	1000	2	5	0	5.517886	0			
20160919 020332	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	1000	2	10	0	5.275394	0			
20160919 020338	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	1000	2	20	0	5.433846	0			
20160919 020345	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	1000	5	5	0	5.737537	0			
20160919 020351	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	1000	5	10	0	6.08831	0			
20160919 020357	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	1000	5	20	0	5.335448	0			
20160919 020403	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	3000	2	5	0	5.346476	0			
20160919 020409	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	3000	2	10	0	5.456954	0			
20160919 020414	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	3000	2	20	0	5.26233	0			
20160919 020420	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	3000	5	5	0	5.361465	0			
20160919 020426	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	3000	5	10	0	5.532625	0			
20160919 020432	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	3000	5	20	0	5.50132	0			
20160919 023052	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	250	5	0	7.418649	0	0	0	
20160919 023130	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	250	10	0	11.50397	0	0	0	
20160919 023226	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	250	15	0	17.21603	0	0	0	
20160919 023340	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	250	20	0	23.49821	0	0	0	
20160919 023505	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	10	5	1072500	59.97264	1170833	1134167	912500	
20160919 023506	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	100	5	152777.8	27.52713	0	0	458333.3	
20160919 023727	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	100	10	152777.8	45.81566	0	0	458333.3	
20160919 024027	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	10	10	1130278	106.0297	1164167	1245833	980833.3	
20160919 024045	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	100	15	152777.8	64.73522	0	0	458333.3	
20160919 024535	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	500	100	20	152777.8	95.4664	0	0	458333.3	
20160919 024604	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	500	5	0	8.546679	0	0	0	
20160919 024654	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	500	10	0	15.51781	0	0	0	
20160919 024812	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	500	15	0	24.52957	0	0	0	
20160919 024927	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	500	20	0	23.6063	0	0	0	
20160919 024955	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	200	5	0	8.35511	0	0	0	
20160919 025008	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	10	15	1125278	192.1158	1164167	1245833	965833.3	
20160919 025054	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	200	10	0	18.13561	0	0	0	
20160919 025207	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	200	15	0	22.99177	0	0	0	
20160919 025324	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	1000	200	20	0	24.60887	0	0	0	
20160919 025352	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	1500	5	0	8.223231	0	0	0	
20160919 025438	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	1500	10	0	14.10289	0	0	0	
20160919 025533	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	1500	15	0	17.19497	0	0	0	
20160919 025626	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	1500	20	0	16.4089	0	0	0	
20160919 025654	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	600	5	0	8.204698	0	0	0	
20160919 025743	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	600	10	0	14.94655	0	0	0	
20160919 025842	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	600	15	0	18.6835	0	0	0	
20160919 025951	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	3000	600	20	0	21.52848	0	0	0	
20160919 030022	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	250	5	0	9.05352	0	0	0	
20160919 030112	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	250	10	0	14.74343	0	0	0	
20160919 030212	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	10	20	1125278	239.9626	1164167	1245833	965833.3	
20160919 030212	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	250	15	0	19.03852	0	0	0	
20160919 030336	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	250	20	0	26.77909	0	0	0	
20160919 030458	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	100	5	152777.8	26.0525	0	0	458333.3	
20160919 030642	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	4	5	1083611	88.64583	1170833	1134167	945833.3	
20160919 030749	binaria1	rpart	0.0001	20	10	5	902222.2	99.19294	942500	917500	846666.7	
20160919 030823	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	100	10	152777.8	66.90093	0	0	458333.3	
20160919 031253	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	100	15	152777.8	88.43542	0	0	458333.3	
20160919 031501	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	4	10	1129167	164.9647	1062500	1209167	1115833	
20160919 031744	binaria1	rpart	0.0001	20	10	10	941388.9	196.7697	954166.7	1051667	818333.3	
20160919 032001	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	500	100	20	152777.8	141.003	0	0	458333.3	
20160919 032033	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	500	5	0	9.359099	0	0	0	
20160919 032119	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	500	10	0	14.44434	0	0	0	
20160919 032220	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	500	15	0	18.89771	0	0	0	
20160919 032416	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	500	20	0	37.12835	0	0	0	
20160919 032504	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	200	5	0	14.39548	0	0	0	
20160919 032603	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	200	10	0	18.18286	0	0	0	
20160919 032713	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	200	15	0	22.32766	0	0	0	
20160919 032847	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.0001	20	4	15	1090278	273.4352	952500	1199167	1119167	
20160919 032848	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	1000	200	20	0	30.09201	0	0	0	
20160919 032914	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	1500	5	0	7.787017	0	0	0	
20160919 032932	binaria1	rpart	0.0001	20	10	15	990555.6	234.6869	1101667	1051667	818333.3	
20160919 032957	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	1500	10	0	13.08873	0	0	0	
20160919 033046	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	1500	15	0	15.35422	0	0	0	
20160919 033134	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	1500	20	0	15.09105	0	0	0	
20160919 033202	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	600	5	0	7.932891	0	0	0	
20160919 033256	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	600	10	0	16.88917	0	0	0	
20160919 033354	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.001	3000	600	15	0	18.19098	0	0	0	
